timestamp,num_clients,duration_sec,avg_ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,avg_stalls_per_client,avg_stall_ms_per_client,total_stalls,total_stall_ms,pct_clients_with_stall,p50_stall_ms_per_client,p95_stall_ms_per_client,total_errors
2025-12-22T10-10-38-287Z,1,30,396.6,2955.1,2368.8,3355.5,1.00,1240,1,1240,100.0,1240,1240,0
2025-12-22T10-11-49-055Z,2,30,352.7,3115.7,2423.4,3824.7,1.50,1226,3,2452,100.0,1226,1231,0
2025-12-22T10-12-59-848Z,3,30,326.5,2837.5,2322.3,3543.2,1.33,476,4,1428,66.7,258,1078,0
2025-12-22T10-14-10-630Z,4,30,309.3,3016.5,2337.2,3830.8,1.00,1225,4,4901,100.0,1214,1256,0
2025-12-22T10-15-21-426Z,5,30,309.1,2908.1,2334.9,3441.1,1.60,1021,8,5105,100.0,1237,1294,0
2025-12-22T10-16-32-068Z,6,30,334.3,3002.6,2280.5,3697.0,0.83,1013,5,6077,83.3,1207,1241,0
2025-12-22T10-19-04-402Z,7,30,321.9,3013.5,2326.6,3775.6,0.71,912,5,6384,71.4,1263,1301,0
2025-12-22T10-20-15-161Z,8,30,310.0,2991.0,2323.2,3526.4,1.88,1205,15,9637,100.0,1331,1383,0
2025-12-22T10-21-26-034Z,9,30,324.4,3030.5,2323.9,3916.8,1.44,1249,13,11241,100.0,1245,1292,0
2025-12-22T10-22-36-871Z,10,30,323.4,2952.2,2291.6,3603.9,1.10,1148,11,11479,100.0,1262,1278,0
2025-12-22T10-23-47-573Z,11,30,323.0,3002.8,2226.4,3762.4,1.91,1194,21,13137,100.0,1300,1356,0
2025-12-22T10-36-40-904Z,12,30,327.1,2944.0,2192.1,3711.2,1.08,1262,13,15139,100.0,1269,1317,0
2025-12-22T10-37-51-629Z,13,30,313.7,2867.4,2265.2,3633.9,0.54,309,7,4023,30.8,0,1303,0
2025-12-22T10-39-02-723Z,14,30,335.0,2911.9,2238.8,3676.5,1.14,1086,16,15204,100.0,1246,1286,0
2025-12-22T10-40-13-791Z,15,30,312.7,2893.5,2225.7,3663.0,1.13,1147,17,17210,93.3,1217,1268,0
2025-12-22T10-41-24-761Z,16,30,333.4,2917.6,2221.3,3732.1,0.94,922,15,14749,81.3,1204,1229,0
2025-12-22T10-42-35-871Z,17,30,347.7,2944.8,2287.5,3699.2,1.06,1102,18,18741,94.1,1236,1296,0
2025-12-22T10-43-47-025Z,18,30,333.8,2908.7,2254.5,3729.4,0.78,613,14,11030,50.0,150,1360,0
2025-12-22T10-44-58-327Z,19,30,332.2,2883.9,2213.3,3638.3,0.89,914,17,17363,78.9,1232,1290,0
2025-12-22T10-46-09-319Z,20,30,342.9,2813.2,2237.9,3636.3,1.10,977,22,19535,80.0,1308,1356,0
2025-12-22T10-47-20-618Z,21,30,355.6,2897.6,2221.2,3775.4,1.00,946,21,19859,76.2,1220,1310,0
2025-12-22T10-48-32-126Z,22,30,349.0,2885.8,2262.7,3749.1,1.05,580,23,12770,72.7,186,1256,0
2025-12-22T10-49-43-637Z,23,30,360.3,2867.7,2199.6,3675.1,0.57,346,13,7955,43.5,0,1300,0
2025-12-22T10-50-54-422Z,24,30,496.4,3003.0,2234.3,4218.9,0.83,683,20,16398,66.7,686,1372,0
2025-12-22T10-52-05-945Z,25,30,383.5,2929.3,2247.2,3889.7,1.80,736,45,18400,100.0,1231,1324,0
2025-12-22T10-53-17-184Z,26,30,368.0,2943.2,2241.3,3850.1,0.92,834,24,21693,69.2,1215,1355,0
2025-12-22T10-54-28-964Z,27,30,382.0,2978.6,2274.2,4566.6,1.15,864,31,23337,85.2,1195,1334,0
2025-12-22T10-55-40-527Z,28,30,393.6,2911.7,2283.1,3810.5,0.82,452,23,12644,53.6,53,1237,0
2025-12-22T10-56-52-327Z,29,30,401.2,2933.9,2317.0,3807.2,0.86,540,25,15660,58.6,131,1326,0
2025-12-22T10-58-04-539Z,30,30,409.7,3013.3,2303.0,4023.6,1.43,967,43,29013,93.3,1291,1369,0
