second,client_id,latency_ms,stall_count,total_stall_ms,buffer_ahead_sec,is_stalling
1,0,2419.539306640625,1,1193,2.117,false
2,0,3221.04150390625,1,1193,2.554,false
3,0,3221.04150390625,1,1193,2.933,false
4,0,3221.04150390625,1,1193,2.304,false
5,0,3221.04150390625,1,1193,2.006,false
6,0,3221.04150390625,1,1193,2.455,false
7,0,3221.04150390625,1,1193,2.551,false
8,0,3221.04150390625,1,1193,2.254,false
9,0,3221.04150390625,2,1242,2.349,false
10,0,3221.04150390625,2,1242,2.018,false
11,0,3221.04150390625,2,1242,2.161,false
12,0,3221.04150390625,2,1242,2.612,false
13,0,3221.04150390625,2,1242,1.975,false
14,0,3221.04150390625,2,1242,2.063,false
15,0,3221.04150390625,2,1242,2.513,false
16,0,3221.04150390625,2,1242,2.602,false
17,0,3221.04150390625,2,1242,1.965,false
18,0,3221.04150390625,2,1242,2.777,false
19,0,3221.04150390625,2,1242,2.120,false
20,0,3221.04150390625,2,1242,2.227,false
21,0,3221.04150390625,2,1242,2.679,false
22,0,3221.04150390625,2,1242,2.042,false
23,0,3221.04150390625,2,1242,2.128,false
24,0,3221.04150390625,2,1242,2.580,false
25,0,3221.04150390625,2,1242,2.219,false
26,0,3221.04150390625,2,1242,2.393,false
27,0,3221.04150390625,2,1242,2.844,false
28,0,3221.04150390625,2,1242,2.206,false
29,0,3221.04150390625,2,1242,2.206,false
30,0,3221.04150390625,2,1242,2.206,false
1,1,2270.7392578125,0,0,2.017,false
2,1,2270.7392578125,0,0,1.815,false
3,1,2270.7392578125,0,0,1.896,false
4,1,2270.7392578125,0,0,2.016,false
5,1,2270.7392578125,0,0,2.019,false
6,1,2270.7392578125,0,0,1.820,false
7,1,2270.7392578125,0,0,1.924,false
8,1,2270.7392578125,0,0,1.961,false
9,1,2270.7392578125,0,0,2.090,false
10,1,2270.7392578125,0,0,1.787,false
11,1,2270.7392578125,0,0,1.867,false
12,1,2270.7392578125,0,0,1.993,false
13,1,2270.7392578125,0,0,1.687,false
14,1,2270.7392578125,0,0,1.799,false
15,1,2270.7392578125,0,0,1.884,false
16,1,2270.7392578125,0,0,1.942,false
17,1,2270.7392578125,0,0,2.046,false
18,1,2270.7392578125,0,0,1.786,false
19,1,2270.7392578125,0,0,1.875,false
20,1,2270.7392578125,0,0,1.254,false
21,1,2270.7392578125,0,0,0.231,false
22,1,2270.7392578125,1,0,0.048,true
23,1,2270.7392578125,1,1213,2.318,false
24,1,3147.39208984375,1,1213,2.628,false
25,1,3147.39208984375,1,1213,2.002,false
26,1,3147.39208984375,1,1213,2.040,false
27,1,3147.39208984375,1,1213,2.494,false
28,1,3147.39208984375,1,1213,2.494,false
29,1,3147.39208984375,1,1213,2.494,false
30,1,3147.39208984375,1,1213,2.494,false
1,2,2251.5390625,1,1230,2.408,false
2,2,3223.941162109375,1,1230,2.840,false
3,2,3223.941162109375,1,1230,2.513,false
4,2,3223.941162109375,1,1230,2.133,false
5,2,3223.941162109375,1,1230,2.254,false
6,2,3223.941162109375,1,1230,2.689,false
7,2,3223.941162109375,1,1230,2.075,false
8,2,3223.941162109375,1,1230,2.155,false
9,2,3223.941162109375,1,1230,2.597,false
10,2,3223.941162109375,2,1258,2.241,false
11,2,3223.941162109375,2,1258,2.381,false
12,2,3223.941162109375,2,1258,2.835,false
13,2,3223.941162109375,2,1258,2.196,false
14,2,3223.941162109375,2,1258,2.284,false
15,2,3223.941162109375,2,1258,2.735,false
