client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,421.09999999962747,2678.1,2328.3,3027.9,0,0,0
1,275.7000000011176,2942.7,2317.0,3268.9,1,1285,0
2,377.09999999962747,3080.4,2379.8,3731.0,2,1184,0
3,265.30000000074506,2486.1,2486.1,2486.1,0,0,0
4,324.90000000037253,2909.0,2909.0,2909.0,0,0,0
5,313,2983.6,2358.1,3323.3,2,1283,0
6,311.19999999925494,3035.1,2358.0,3712.2,0,0,0
7,367.09999999962747,2694.8,2694.8,2694.8,0,0,0
8,350.5,2835.0,2324.1,3097.6,2,1201,0
9,316.80000000074506,2974.1,2324.3,3461.6,2,1131,0
10,351.59999999962747,2340.3,2340.3,2340.3,1,87,0
11,351.80000000074506,2762.0,2762.0,2762.0,2,222,0
12,356.09999999962747,2766.8,2376.4,3157.2,2,162,0
13,311.69999999925494,2933.4,2362.4,3504.4,2,131,0
14,358.09999999962747,2897.3,2460.7,3334.0,1,1352,0
15,331.19999999925494,3100.1,2865.3,3329.9,2,1370,0
16,396.80000000074506,2992.5,2409.1,3352.8,1,1287,0
17,410,3152.2,2497.2,3807.2,0,0,0
18,338.5,2897.4,2601.7,3193.1,1,1247,0
19,441,2801.5,2464.3,3138.7,0,0,0
20,453.69999999925494,3083.9,2564.8,3602.9,0,0,0
21,471.7999999988824,2588.6,2588.6,2588.6,0,0,0
22,495.30000000074506,2914.3,2434.9,3179.2,1,1209,0
23,486.90000000037253,3055.8,2518.8,3592.8,0,0,0
24,504.80000000074506,2967.1,2610.4,3188.8,1,1236,0
25,475.1000000014901,3104.0,3027.4,3180.7,1,1187,0
26,621.0999999996275,3161.4,2613.0,3709.8,0,0,0
27,548.2000000011176,2649.1,2649.1,2649.1,1,86,0
28,607.8000000007451,2868.4,2477.6,3259.2,0,0,0
