client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,384.8999999985099,2834.7,2364.8,3304.6,1,1317,0
1,283.1000000014901,2987.3,2633.5,3341.1,1,1338,0
2,257.30000000074506,2816.2,2171.2,3302.7,1,1319,0
3,313.30000000074506,2986.9,2268.5,3407.2,1,1302,0
4,276.80000000074506,2770.7,2254.7,3286.7,1,1317,0
5,374.8999999985099,3032.7,2735.3,3330.0,1,1333,0
6,332.80000000074506,2907.2,2318.2,3339.0,1,1315,0
7,343.69999999925494,3074.6,2415.0,3474.3,1,1343,0
8,323.6000000014901,2419.3,2419.3,2419.3,2,171,0
9,299.1000000014901,2799.3,2799.3,2799.3,2,161,0
10,355.1000000014901,2782.3,2300.4,3264.1,3,276,0
11,350.5,3004.8,2327.4,3682.1,0,0,0
12,423.9000000022352,2971.5,2614.2,3328.9,2,1392,0
13,351.30000000074506,3097.1,2946.9,3247.4,2,1314,0
14,311.69999999925494,2975.5,2323.1,3358.4,1,1233,0
15,377.9000000022352,2840.8,2346.1,3335.4,1,1346,0
16,379.19999999925494,3059.8,2812.8,3306.8,1,1355,0
17,424.30000000074506,2998.2,2381.3,3334.9,1,1359,0
18,432.30000000074506,3165.2,2452.6,3751.0,1,1298,0
19,378.30000000074506,2990.5,2638.2,3342.7,1,1288,0
20,456.5,2931.6,2382.3,3269.1,1,1313,0
21,492.70000000298023,3078.7,2417.0,3670.7,2,1270,0
22,398,2933.9,2497.3,3218.9,1,1242,0
23,538.5,2958.9,2436.1,3351.2,1,1345,0
24,546.1000000014901,3204.1,2596.2,3611.3,2,1344,0
25,585.7999999970198,2797.6,2797.6,2797.6,1,114,0
26,487.80000000074506,2807.9,2374.8,3241.1,2,169,0
27,498,3177.9,2535.9,3820.0,2,220,0
