timestamp,num_clients,duration_sec,avg_ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,p50_latency_ms,p95_latency_ms,median_client_p50_latency_ms,median_client_p95_latency_ms,avg_stalls_per_client,avg_stall_ms_per_client,total_stalls,total_stall_ms,pct_clients_with_stall,p50_stall_ms_per_client,p95_stall_ms_per_client,total_errors
2025-12-24T10-36-20-709Z,1,30,243.5,2240.9,2204.8,2263.2,2247.9,2262.9,2247.9,2262.9,1.00,233,1,233,100.0,233,233,0
2025-12-24T10-37-33-582Z,2,30,291.0,2324.8,2164.5,2926.8,2271.1,2616.7,2266.8,2546.3,1.00,230,2,460,100.0,230,234,0
2025-12-24T10-38-48-308Z,3,30,286.3,2379.3,2211.9,3082.1,2292.1,2868.0,2270.7,2669.7,1.67,236,5,709,100.0,230,290,0
2025-12-24T10-40-05-136Z,4,30,258.1,2404.0,2047.6,3058.2,2269.9,2981.3,2311.5,2726.4,1.50,154,6,614,50.0,124,348,0
2025-12-24T10-41-23-981Z,5,30,264.9,2576.2,2162.7,3154.1,2682.1,2908.1,2688.5,2762.4,1.20,443,6,2215,60.0,677,822,0
2025-12-24T10-42-44-836Z,6,30,254.6,2376.9,2130.9,3127.7,2302.1,2886.1,2300.5,2601.5,1.83,312,11,1871,100.0,286,435,0
2025-12-24T10-44-07-977Z,7,30,275.2,2446.4,2211.4,3066.8,2319.7,3047.1,2345.4,2606.7,0.86,115,6,803,42.9,0,370,1
2025-12-24T10-45-32-794Z,8,30,291.2,2423.2,2184.3,3208.6,2321.6,3069.5,2316.0,2725.9,1.88,237,15,1899,87.5,214,402,0
2025-12-24T10-46-59-443Z,9,30,262.6,2404.8,2143.5,3161.3,2332.4,2974.8,2331.9,2616.5,2.00,283,18,2551,100.0,291,397,0
2025-12-24T10-48-28-515Z,10,30,328.3,2436.0,2154.8,3212.7,2368.5,3029.0,2376.8,2575.3,1.50,194,15,1935,80.0,229,357,0
2025-12-24T10-49-59-148Z,11,30,279.2,2433.2,2072.6,3170.6,2333.0,3098.8,2343.1,2715.8,0.82,185,9,2034,72.7,248,307,0
2025-12-24T10-51-32-029Z,12,30,274.0,2411.0,2049.2,3280.9,2326.5,3060.8,2314.1,2697.6,1.33,223,16,2673,83.3,250,324,0
2025-12-24T10-53-07-693Z,13,30,306.7,2448.6,2154.0,3311.0,2362.7,3074.7,2362.7,2743.0,1.77,290,23,3766,100.0,337,438,0
2025-12-24T10-54-43-709Z,14,30,267.7,2416.3,2193.3,3065.0,2334.2,2991.9,2360.6,2630.3,1.07,227,15,3181,92.9,248,365,0
2025-12-24T10-56-25-137Z,15,30,334.7,2725.0,2167.5,3685.5,2717.1,3136.9,2475.4,2807.9,1.33,506,20,7583,93.3,375,992,0
2025-12-24T10-58-03-542Z,16,30,301.5,2399.0,1988.8,3228.9,2371.5,2990.3,2361.1,2618.0,1.06,180,17,2883,81.3,212,312,0
2025-12-24T10-59-46-029Z,17,30,296.6,2216.0,1917.8,2963.1,2097.7,2796.0,2094.9,2474.3,1.24,404,21,6863,88.2,356,651,0
2025-12-24T11-01-30-854Z,18,30,293.3,2176.6,1796.8,3052.7,2096.3,2775.6,2090.0,2467.7,1.61,255,29,4584,100.0,309,391,0
2025-12-24T11-03-18-316Z,19,30,340.0,2190.1,1758.8,3249.5,2105.9,2850.0,2110.2,2475.0,1.63,271,31,5157,89.5,251,457,0
2025-12-24T11-05-06-853Z,20,30,300.3,2281.0,1799.8,3148.7,2120.4,3126.1,2104.7,2433.4,1.50,330,30,6605,85.0,307,562,0
2025-12-24T11-07-00-242Z,21,30,484.7,2354.3,1720.6,3667.8,2164.5,3627.4,2122.5,2529.4,1.14,363,24,7614,85.7,346,496,0
2025-12-24T11-08-51-705Z,22,30,436.9,2731.5,1744.1,4117.5,2771.6,3762.0,2135.3,2663.0,1.36,543,30,11937,90.9,306,1614,0
2025-12-24T11-10-47-715Z,23,30,458.4,2320.1,1709.6,3985.5,2191.0,3059.2,2157.6,2327.6,1.61,571,37,13143,91.3,384,1308,0
2025-12-24T11-12-47-030Z,24,30,697.3,2737.4,1744.7,4549.3,2591.8,3837.2,2274.3,2926.0,3.25,1598,78,38343,100.0,1362,3323,0
2025-12-24T11-14-51-245Z,25,30,1157.6,3884.7,1767.1,6267.9,3677.2,5528.7,3783.2,5244.2,9.08,14534,227,363357,100.0,15050,21371,0
