second,client_id,latency_ms,stall_count,total_stall_ms,buffer_ahead_sec,is_stalling
1,0,2977.809814453125,0,0,2.260,false
2,0,2977.809814453125,0,0,2.007,false
3,0,2977.809814453125,0,0,2.039,false
4,0,2977.809814453125,0,0,2.087,false
5,0,2977.809814453125,0,0,2.171,false
6,0,2977.809814453125,0,0,2.014,false
7,0,2977.809814453125,0,0,1.997,false
8,0,2977.809814453125,0,0,2.157,false
9,0,2977.809814453125,0,0,1.920,false
10,0,2977.809814453125,0,0,1.984,false
11,0,2977.809814453125,0,0,2.100,false
12,0,2977.809814453125,0,0,2.149,false
13,0,2977.809814453125,0,0,1.914,false
14,0,2977.809814453125,0,0,1.918,false
15,0,2977.809814453125,0,0,2.033,false
16,0,2977.809814453125,0,0,2.193,false
17,0,2977.809814453125,0,0,2.222,false
18,0,2977.809814453125,0,0,1.968,false
19,0,2977.809814453125,0,0,1.952,false
20,0,2977.809814453125,0,0,2.026,false
21,0,2977.809814453125,0,0,2.152,false
22,0,2977.809814453125,0,0,1.972,false
23,0,2977.809814453125,0,0,1.991,false
24,0,2977.809814453125,0,0,2.092,false
25,0,2977.809814453125,0,0,1.891,false
26,0,2977.809814453125,0,0,1.960,false
27,0,2977.809814453125,0,0,2.030,false
28,0,2977.809814453125,0,0,2.086,false
29,0,2977.809814453125,0,0,2.154,false
30,0,2977.809814453125,0,0,1.953,false
1,1,3285.60986328125,0,0,1.974,false
2,1,3285.60986328125,0,0,2.039,false
3,1,3285.60986328125,1,32,2.116,false
4,1,3285.60986328125,1,32,2.084,false
5,1,3285.60986328125,1,32,2.251,false
6,1,3285.60986328125,1,32,2.018,false
7,1,3285.60986328125,1,32,1.743,false
8,1,3285.60986328125,1,32,2.152,false
9,1,3285.60986328125,1,32,1.921,false
10,1,3285.60986328125,1,32,1.983,false
11,1,3285.60986328125,1,32,2.019,false
12,1,3285.60986328125,1,32,2.116,false
13,1,3285.60986328125,1,32,1.910,false
14,1,3285.60986328125,1,32,1.999,false
15,1,3285.60986328125,1,32,2.017,false
16,1,3285.60986328125,1,32,2.050,false
17,1,3285.60986328125,1,32,1.901,false
18,1,3285.60986328125,1,32,1.988,false
19,1,3285.60986328125,1,32,1.986,false
20,1,3285.60986328125,1,32,2.116,false
21,1,3285.60986328125,1,32,1.888,false
22,1,3285.60986328125,1,32,1.952,false
23,1,3285.60986328125,1,32,2.050,false
24,1,3285.60986328125,1,32,2.083,false
25,1,3285.60986328125,1,32,2.152,false
26,1,3285.60986328125,1,32,1.967,false
27,1,3285.60986328125,1,32,1.985,false
28,1,3285.60986328125,1,32,2.082,false
29,1,3285.60986328125,1,32,1.867,false
30,1,3285.60986328125,1,32,1.953,false
1,2,2475.875732421875,0,0,1.970,false
2,2,2475.875732421875,0,0,1.984,false
3,2,2475.875732421875,0,0,2.140,false
4,2,2475.875732421875,0,0,2.204,false
5,2,2475.875732421875,0,0,2.215,false
6,2,2475.875732421875,0,0,2.020,false
7,2,2475.875732421875,0,0,2.054,false
8,2,2475.875732421875,0,0,2.096,false
9,2,2475.875732421875,0,0,1.945,false
10,2,2475.875732421875,0,0,1.944,false
11,2,2475.875732421875,0,0,2.011,false
12,2,2475.875732421875,0,0,1.816,false
13,2,2475.875732421875,0,0,2.211,false
14,2,2475.875732421875,0,0,2.026,false
15,2,2475.875732421875,0,0,1.971,false
16,2,2475.875732421875,0,0,2.192,false
17,2,2475.875732421875,0,0,2.262,false
18,2,2475.875732421875,0,0,1.998,false
19,2,2475.875732421875,0,0,2.007,false
20,2,2475.875732421875,0,0,2.080,false
21,2,2475.875732421875,0,0,2.159,false
22,2,2475.875732421875,0,0,1.907,false
23,2,2475.875732421875,0,0,1.985,false
24,2,2475.875732421875,0,0,2.129,false
25,2,2475.875732421875,0,0,1.888,false
26,2,2475.875732421875,0,0,1.953,false
27,2,2475.875732421875,0,0,2.055,false
28,2,2475.875732421875,0,0,2.114,false
29,2,2475.875732421875,0,0,1.885,false
30,2,2475.875732421875,0,0,1.976,false
1,3,2284.07568359375,0,0,2.149,false
2,3,2284.07568359375,0,0,1.925,false
3,3,2284.07568359375,0,0,2.013,false
4,3,2284.07568359375,0,0,2.002,false
5,3,2284.07568359375,0,0,2.144,false
6,3,2284.07568359375,0,0,1.918,false
7,3,2284.07568359375,0,0,2.003,false
8,3,2284.07568359375,0,0,2.068,false
9,3,2284.07568359375,0,0,1.796,false
10,3,2284.07568359375,0,0,2.236,false
11,3,2284.07568359375,0,0,1.977,false
12,3,2284.07568359375,0,0,2.037,false
13,3,2284.07568359375,0,0,2.094,false
14,3,2284.07568359375,0,0,2.193,false
15,3,2284.07568359375,0,0,2.003,false
16,3,2284.07568359375,0,0,2.082,false
17,3,2284.07568359375,0,0,2.121,false
18,3,2284.07568359375,0,0,1.921,false
19,3,2284.07568359375,0,0,1.975,false
20,3,2284.07568359375,0,0,2.042,false
21,3,2284.07568359375,0,0,2.031,false
22,3,2284.07568359375,0,0,2.213,false
23,3,2284.07568359375,0,0,1.982,false
24,3,2284.07568359375,0,0,2.013,false
25,3,2284.07568359375,0,0,2.114,false
26,3,2284.07568359375,0,0,2.145,false
27,3,2284.07568359375,0,0,1.930,false
28,3,2284.07568359375,0,0,1.970,false
29,3,2284.07568359375,0,0,2.086,false
30,3,2284.07568359375,0,0,1.853,false
1,4,2680.87548828125,0,0,2.194,false
2,4,2680.87548828125,0,0,2.208,false
3,4,2680.87548828125,0,0,2.008,false
4,4,2680.87548828125,0,0,1.966,false
5,4,2680.87548828125,0,0,1.822,false
6,4,2680.87548828125,0,0,2.254,false
7,4,2680.87548828125,0,0,2.014,false
8,4,2680.87548828125,0,0,2.058,false
9,4,2680.87548828125,0,0,2.083,false
10,4,2680.87548828125,0,0,2.234,false
11,4,2680.87548828125,0,0,1.960,false
12,4,2680.87548828125,0,0,2.017,false
13,4,2680.87548828125,0,0,2.151,false
14,4,2680.87548828125,0,0,1.888,false
15,4,2680.87548828125,0,0,2.210,false
16,4,2680.87548828125,0,0,1.959,false
17,4,2680.87548828125,0,0,2.160,false
18,4,2680.87548828125,0,0,2.195,false
19,4,2680.87548828125,0,0,1.956,false
20,4,2680.87548828125,0,0,2.005,false
21,4,2680.87548828125,0,0,2.131,false
22,4,2680.87548828125,0,0,2.195,false
23,4,2680.87548828125,0,0,1.944,false
24,4,2680.87548828125,0,0,1.993,false
25,4,2680.87548828125,0,0,2.035,false
26,4,2680.87548828125,0,0,2.139,false
27,4,2680.87548828125,0,0,1.927,false
28,4,2680.87548828125,0,0,1.968,false
29,4,2680.87548828125,0,0,2.105,false
30,4,2680.87548828125,0,0,2.128,false
1,5,3011.275634765625,0,0,2.117,false
2,5,3011.275634765625,0,0,2.106,false
3,5,3011.275634765625,0,0,1.916,false
4,5,3011.275634765625,0,0,1.995,false
5,5,3011.275634765625,0,0,2.009,false
6,5,3011.275634765625,0,0,2.142,false
7,5,3011.275634765625,0,0,2.176,false
8,5,3011.275634765625,0,0,2.023,false
9,5,3011.275634765625,0,0,1.966,false
10,5,3011.275634765625,0,0,2.238,false
11,5,3011.275634765625,0,0,1.955,false
12,5,3011.275634765625,0,0,1.955,false
13,5,3011.275634765625,0,0,2.169,false
14,5,3011.275634765625,0,0,2.198,false
15,5,3011.275634765625,0,0,1.985,false
16,5,3011.275634765625,0,0,2.000,false
17,5,3011.275634765625,0,0,2.121,false
18,5,3011.275634765625,0,0,2.113,false
19,5,3011.275634765625,0,0,2.202,false
20,5,3011.275634765625,0,0,2.015,false
21,5,3011.275634765625,0,0,2.052,false
22,5,3011.275634765625,0,0,2.167,false
23,5,3011.275634765625,0,0,1.945,false
24,5,3011.275634765625,0,0,2.004,false
25,5,3011.275634765625,0,0,2.109,false
26,5,3011.275634765625,0,0,2.195,false
27,5,3011.275634765625,0,0,2.234,false
28,5,3011.275634765625,0,0,1.993,false
29,5,3011.275634765625,0,0,2.043,false
30,5,3011.275634765625,0,0,2.144,false
1,6,3408.57568359375,0,0,2.223,false
2,6,3408.57568359375,0,0,2.217,false
3,6,3408.57568359375,0,0,1.900,false
4,6,3408.57568359375,0,0,2.013,false
5,6,3408.57568359375,1,95,2.077,false
6,6,3408.57568359375,1,95,2.212,false
7,6,3408.57568359375,1,95,1.942,false
8,6,3408.57568359375,1,95,1.978,false
9,6,3408.57568359375,1,95,2.116,false
10,6,3408.57568359375,1,95,2.205,false
11,6,3408.57568359375,1,95,2.278,false
12,6,3408.57568359375,1,95,1.979,false
13,6,3408.57568359375,1,95,2.013,false
14,6,3408.57568359375,1,95,2.114,false
15,6,3408.57568359375,1,95,2.214,false
16,6,3408.57568359375,1,95,2.007,false
17,6,3408.57568359375,1,95,2.045,false
18,6,3408.57568359375,1,95,1.819,false
19,6,3408.57568359375,1,95,2.180,false
20,6,3408.57568359375,1,95,1.996,false
21,6,3408.57568359375,1,95,1.978,false
22,6,3408.57568359375,1,95,2.144,false
23,6,3408.57568359375,1,95,2.247,false
24,6,3408.57568359375,1,95,2.277,false
25,6,3408.57568359375,1,95,2.046,false
26,6,3408.57568359375,1,95,2.144,false
27,6,3408.57568359375,1,95,2.177,false
28,6,3408.57568359375,1,95,1.975,false
29,6,3408.57568359375,1,95,2.011,false
30,6,3408.57568359375,1,95,2.144,false
1,7,2358.001708984375,0,0,2.193,false
2,7,2358.001708984375,0,0,2.187,false
3,7,2358.001708984375,0,0,2.226,false
4,7,2358.001708984375,0,0,1.955,false
5,7,2358.001708984375,0,0,1.996,false
6,7,2358.001708984375,0,0,2.111,false
7,7,2358.001708984375,0,0,2.151,false
8,7,2358.001708984375,0,0,1.938,false
9,7,2358.001708984375,0,0,1.940,false
10,7,2358.001708984375,0,0,2.095,false
11,7,2358.001708984375,0,0,2.116,false
12,7,2358.001708984375,0,0,1.947,false
13,7,2358.001708984375,0,0,2.030,false
14,7,2358.001708984375,0,0,2.112,false
15,7,2358.001708984375,0,0,2.090,false
16,7,2358.001708984375,0,0,2.201,false
17,7,2358.001708984375,0,0,1.983,false
18,7,2358.001708984375,0,0,2.023,false
19,7,2358.001708984375,0,0,2.101,false
20,7,2358.001708984375,0,0,2.158,false
21,7,2358.001708984375,0,0,1.984,false
22,7,2358.001708984375,0,0,2.074,false
23,7,2358.001708984375,0,0,2.076,false
24,7,2358.001708984375,0,0,1.892,false
25,7,2358.001708984375,0,0,1.991,false
26,7,2358.001708984375,0,0,1.973,false
27,7,2358.001708984375,0,0,2.158,false
28,7,2358.001708984375,0,0,2.239,false
29,7,2358.001708984375,0,0,1.978,false
30,7,2358.001708984375,0,0,1.999,false
1,8,2304.501953125,0,0,2.049,false
2,8,2304.501953125,0,0,2.063,false
3,8,2304.501953125,0,0,2.032,false
4,8,2304.501953125,0,0,2.084,false
5,8,2304.501953125,0,0,2.211,false
6,8,2304.501953125,0,0,2.000,false
7,8,2304.501953125,0,0,1.994,false
