client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,262.70000000018626,2352.4,2108.1,2873.3,1,365,0
1,267,2312.3,2133.4,2362.5,1,370,0
2,250.09999999962747,2365.1,2189.8,2685.3,2,418,0
3,290.5,2426.4,2243.5,3133.6,1,385,0
4,272.5,2353.5,2230.8,2511.6,1,346,0
5,649,3785.7,2484.0,4074.7,2,1987,0
6,301.40000000037253,2284.1,2178.8,2575.5,2,351,0
7,987.7999999998137,2617.0,2007.5,3817.9,1,424,0
8,338.90000000037253,2154.1,1989.7,2983.8,3,191,0
9,311.20000000018626,2105.8,2018.8,2367.3,2,127,0
10,323,2153.1,2030.2,2849.2,1,66,0
11,276.70000000018626,3823.7,2185.9,4108.3,2,2020,0
12,312.09999999962747,2347.1,2020.2,2828.1,2,507,0
13,674.8999999994412,2349.2,2095.9,2730.3,1,413,0
14,2027.1000000005588,3151.5,2823.5,4786.9,1,490,0
15,1645.7000000001863,2906.8,2563.5,3451.2,1,358,0
16,1075.3999999994412,2328.3,1953.4,3016.5,2,100,0
17,787.5999999996275,2377.7,2088.5,3576.8,2,144,0
18,468.70000000018626,2837.2,2295.7,3073.8,1,712,0
19,1018.5,4020.9,3072.5,4513.3,2,1676,0
20,2323.0999999996275,3288.6,2972.5,4605.1,1,498,0
21,1291.7999999998137,3212.1,2985.9,3949.9,1,874,0
22,1232.8999999994412,3106.3,2957.4,3680.1,1,587,0
23,1874.1000000005588,3240.1,2961.0,4005.5,1,1437,0
24,1628.9000000003725,3228.8,2958.7,3925.7,1,680,0
25,2104.699999999255,3136.4,2402.1,3937.2,1,439,0
