timestamp,protocol,num_clients,avg_cpu_pct,avg_mem_pct,avg_mem_used_gb,mem_total_gb,samples,duration_sec
2025-12-22T14:07:10.939Z,ll-hls,1,15.0,44.0,14.09,32.00,30,30.9
2025-12-22T14:08:21.743Z,ll-hls,2,18.3,44.6,14.27,32.00,31,31.6
2025-12-22T14:09:32.563Z,ll-hls,3,20.6,45.1,14.43,32.00,32,32.4
2025-12-22T14:10:43.364Z,ll-hls,4,22.6,45.5,14.55,32.00,33,33.1
2025-12-22T14:11:54.218Z,ll-hls,5,25.4,45.9,14.68,32.00,33,34.0
2025-12-22T14:13:05.022Z,ll-hls,6,27.8,46.3,14.82,32.00,34,34.7
2025-12-22T14:14:16.183Z,ll-hls,7,31.2,46.8,14.96,32.00,35,35.8
2025-12-22T14:15:26.782Z,ll-hls,8,31.1,47.0,15.03,32.00,36,36.4
2025-12-22T14:16:37.587Z,ll-hls,9,33.8,47.4,15.17,32.00,37,37.2
2025-12-22T14:17:48.447Z,ll-hls,10,35.8,47.8,15.30,32.00,37,38.0
2025-12-22T14:18:59.290Z,ll-hls,11,36.5,48.2,15.42,32.00,38,38.7
2025-12-22T14:20:10.115Z,ll-hls,12,38.6,48.3,15.46,32.00,39,39.5
2025-12-22T14:21:21.451Z,ll-hls,13,40.8,48.5,15.50,32.00,40,40.6
2025-12-22T14:22:32.392Z,ll-hls,14,42.5,48.7,15.57,32.00,41,41.4
2025-12-22T14:23:43.678Z,ll-hls,15,44.4,48.9,15.64,32.00,42,42.3
2025-12-22T14:24:54.789Z,ll-hls,16,46.4,49.1,15.71,32.00,43,43.2
2025-12-22T14:26:05.748Z,ll-hls,17,47.7,49.2,15.76,32.00,43,43.9
2025-12-22T14:27:16.715Z,ll-hls,18,47.8,49.3,15.79,32.00,44,44.6
2025-12-22T14:28:27.715Z,ll-hls,19,47.7,50.4,16.14,32.00,45,45.3
2025-12-22T14:39:58.877Z,ll-hls,20,49.9,49.9,15.98,32.00,46,46.3
2025-12-22T14:41:10.333Z,ll-hls,21,49.7,50.2,16.06,32.00,47,47.2
2025-12-22T14:42:21.615Z,ll-hls,22,51.5,50.4,16.11,32.00,47,48.1
2025-12-22T14:43:32.893Z,ll-hls,23,52.2,50.3,16.10,32.00,48,48.9
2025-12-22T14:44:44.035Z,ll-hls,24,52.4,50.4,16.13,32.00,49,49.7
2025-12-22T14:45:55.846Z,ll-hls,25,52.9,50.0,16.02,32.00,50,51.0
2025-12-22T14:47:06.927Z,ll-hls,26,52.6,49.8,15.93,32.00,51,51.5
2025-12-22T14:48:18.631Z,ll-hls,27,52.8,49.4,15.82,32.00,52,52.6
2025-12-22T14:49:30.706Z,ll-hls,28,53.0,49.1,15.73,32.00,53,53.9
2025-12-22T14:50:42.454Z,ll-hls,29,53.5,48.9,15.63,32.00,54,55.0
2025-12-22T14:51:53.898Z,ll-hls,30,51.6,48.3,15.45,32.00,55,55.5
