timestamp,num_clients,duration_sec,avg_ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,p50_latency_ms,p95_latency_ms,median_client_p50_latency_ms,median_client_p95_latency_ms,avg_stalls_per_client,avg_stall_ms_per_client,total_stalls,total_stall_ms,pct_clients_with_stall,p50_stall_ms_per_client,p95_stall_ms_per_client,total_errors
2025-12-23T15-43-53-425Z,1,30,171.3,0.6,0.2,1.7,0.6,1.0,0.6,1.0,0.00,0,0,0,0.0,0,0,0
2025-12-23T15-45-00-488Z,2,30,179.4,9.4,4.9,25.7,7.3,22.9,7.7,16.8,0.00,0,0,0,0.0,0,0,0
2025-12-23T15-46-15-211Z,3,30,197.1,9.7,4.8,25.2,8.5,22.1,9.0,12.3,0.00,0,0,0,0.0,0,0,0
2025-12-23T15-47-31-827Z,4,30,186.3,7.9,3.6,25.4,6.4,20.8,6.5,9.6,0.00,0,0,0,0.0,0,0,0
2025-12-23T15-48-50-606Z,5,30,201.2,10.5,4.7,25.9,9.8,17.3,10.1,14.4,0.00,0,0,0,0.0,0,0,0
2025-12-23T15-50-11-309Z,6,30,198.7,10.0,4.4,24.8,9.2,16.7,8.8,13.0,0.00,0,0,0,0.0,0,0,0
2025-12-23T15-51-34-403Z,7,30,202.0,11.0,4.6,26.3,10.3,17.7,10.3,14.7,0.00,0,0,0,0.0,0,0,0
2025-12-23T15-52-58-892Z,8,30,204.4,12.1,4.9,37.2,11.4,19.2,11.1,14.3,0.00,0,0,0,0.0,0,0,0
2025-12-23T15-54-25-519Z,9,30,218.4,12.7,3.4,25.7,12.4,19.4,12.8,16.7,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-23-37-743Z,10,30,201.3,12.8,4.8,29.0,12.2,20.4,12.1,16.4,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-25-08-352Z,11,30,215.9,15.6,4.8,33.3,15.8,24.5,16.6,20.5,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-26-41-138Z,12,30,210.2,15.9,5.4,26.8,15.9,22.9,16.1,20.7,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-28-16-040Z,13,30,214.4,15.9,5.3,32.7,15.0,26.5,14.5,22.2,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-29-52-608Z,14,30,222.9,13.7,4.8,37.3,13.1,22.0,12.9,18.5,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-31-31-305Z,15,30,222.2,14.9,4.6,33.5,14.6,22.8,14.5,19.2,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-33-12-127Z,16,30,226.1,14.5,3.6,42.7,14.8,21.4,14.7,18.1,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-34-54-822Z,17,30,227.6,14.4,3.9,43.4,14.6,21.1,15.2,18.0,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-36-39-606Z,18,30,222.0,12.6,3.9,29.5,12.3,19.2,13.1,16.1,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-38-26-177Z,19,30,226.0,11.5,3.9,33.4,11.3,17.5,11.5,15.9,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-40-15-022Z,20,30,235.2,11.4,1.7,40.5,10.9,16.5,11.1,14.1,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-42-05-891Z,21,30,232.5,11.5,3.7,37.0,11.4,16.8,11.7,15.3,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-43-58-549Z,22,30,230.8,11.4,3.0,30.5,10.9,18.0,10.3,14.6,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-45-53-223Z,23,30,234.3,28.4,0.1,746.2,2.9,182.3,2.9,161.4,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-47-50-032Z,24,30,241.3,5.0,0.1,41.8,2.0,15.9,2.1,13.4,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-49-48-895Z,25,30,243.4,3.9,0.1,36.6,1.8,12.7,1.7,11.3,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-51-49-641Z,26,30,244.0,3.5,0.1,46.4,1.6,11.7,1.6,9.9,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-53-52-266Z,27,30,244.4,3.2,0.1,32.2,1.5,12.7,1.5,10.1,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-55-57-087Z,28,30,249.2,2.6,0.1,31.6,1.4,9.6,1.5,8.6,0.00,0,0,0,0.0,0,0,0
2025-12-23T19-58-04-091Z,29,30,258.2,2.6,0.0,37.1,1.4,9.9,1.4,7.4,0.00,0,0,0,0.0,0,0,0
2025-12-23T20-00-12-943Z,30,30,289.2,2.6,0.0,44.5,1.4,9.7,1.4,8.5,0.00,0,0,0,0.0,0,0,0
