client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,192.69999999552965,6.7,0.1,39.3,0,0,0
1,219.59999999403954,2.9,0.1,11.1,0,0,0
2,185.89999999850988,2.7,0.2,10.8,0,0,0
3,204.39999999850988,2.8,0.1,11.5,0,0,0
4,210.10000000149012,2.6,0.1,11.0,0,0,0
5,204.89999999850988,2.2,0.1,10.4,0,0,0
6,221.60000000149012,2.6,0.1,11.8,0,0,0
7,239.89999999850988,2.4,0.1,14.2,0,0,0
8,198.10000000149012,2.4,0.2,10.0,0,0,0
9,251.30000000447035,2.1,0.1,14.5,0,0,0
10,250.89999999850988,2.3,0.1,9.6,0,0,0
11,238.30000000447035,2.0,0.1,11.4,0,0,0
12,249.89999999850988,2.2,0.1,12.5,0,0,0
13,251.60000000149012,2.5,0.2,14.9,0,0,0
14,192.29999999701977,2.1,0.1,12.0,0,0,0
15,247.79999999701977,1.9,0.4,9.4,0,0,0
16,253.39999999850988,2.1,0.2,13.1,0,0,0
17,249.10000000149012,1.9,0.0,8.3,0,0,0
18,232.89999999850988,2.2,0.1,11.4,0,0,0
19,340,1.9,0.3,9.1,0,0,0
20,295.29999999701977,1.5,0.1,8.8,0,0,0
21,252.89999999850988,1.6,0.1,7.2,0,0,0
22,279.8999999985099,2.2,0.1,20.5,0,0,0
23,352.19999999552965,1.6,0.1,7.9,0,0,0
24,298.6000000014901,1.3,0.1,5.3,0,0,0
25,457.8999999985099,1.3,0.1,5.9,0,0,0
26,377.70000000298023,1.9,0.2,12.5,0,0,0
27,326.6000000014901,1.8,0.0,11.3,0,0,0
28,450.5,1.8,0.1,14.1,0,0,0
29,873.6000000014901,1.4,0.1,6.0,0,0,0
30,1375.9000000059605,1.4,0.1,6.1,0,0,0
31,1443.4000000059605,1.6,0.0,7.8,0,0,0
32,1491.5,1.5,0.1,8.4,0,0,0
33,1624.3999999985099,1.1,0.1,2.5,0,0,0
34,1710.7999999970198,1.2,0.0,4.0,0,0,0
35,1757.1000000014901,1.8,0.0,6.2,0,0,0
36,1770.6000000014901,2.4,0.0,16.9,0,0,0
37,1922.8000000044703,2.2,0.0,13.5,0,0,0
