second,client_id,latency_ms,stall_count,total_stall_ms,buffer_ahead_sec,is_stalling
1,0,3.9461538461538725,0,0,0.000,false
2,0,1.1492307692307144,0,0,0.000,false
3,0,0.8100833333333224,0,0,0.000,false
4,0,1.459307692307732,0,0,0.000,false
5,0,1.4170000000000016,0,0,0.000,false
6,0,1.6719999999999697,0,0,0.000,false
7,0,0.6739230769231297,0,0,0.000,false
8,0,0.5640833333332799,0,0,0.000,false
9,0,1.2571666666666796,0,0,0.000,false
10,0,0.8985454545454953,0,0,0.000,false
11,0,0.939666666666635,0,0,0.000,false
12,0,1.1280000000000179,0,0,0.000,false
13,0,0.12825000000001494,0,0,0.000,false
14,0,2.1049999999999494,0,0,0.000,false
15,0,1.9811666666667005,0,0,0.000,false
16,0,0.06099999999996765,0,0,0.000,false
17,0,0.06641666666669839,0,0,0.000,false
18,0,0.9207499999999887,0,0,0.000,false
19,0,1.309909090909061,0,0,0.000,false
20,0,2.4367999999999945,0,0,0.000,false
21,0,0.38860000000005,0,0,0.000,false
22,0,0.5418999999999841,0,0,0.000,false
23,0,1.853899999999964,0,0,0.000,false
24,0,2.32360000000007,0,0,0.000,false
25,0,1.2435555555554918,0,0,0.000,false
26,0,1.0991818181818047,0,0,0.000,false
27,0,1.3552000000000675,0,0,0.000,false
28,0,0.6656999999999691,0,0,0.000,false
29,0,2.193199999999962,0,0,0.000,false
30,0,1.2317000000000355,0,0,0.000,false
1,1,0.17484615384613442,0,0,0.000,false
2,1,2.508846153846176,0,0,0.000,false
3,1,2.306666666666679,0,0,0.000,false
4,1,0.408692307692283,0,0,0.000,false
5,1,2.7687500000000234,0,0,0.000,false
6,1,2.411666666666664,0,0,0.000,false
7,1,1.7192307692307591,0,0,0.000,false
8,1,1.5519999999999978,0,0,0.000,false
9,1,0.9102307692307849,0,0,0.000,false
10,1,1.7436666666666618,0,0,0.000,false
11,1,1.5586363636363405,0,0,0.000,false
12,1,1.1683333333333268,0,0,0.000,false
13,1,2.219000000000008,0,0,0.000,false
14,1,1.5085833333333316,0,0,0.000,false
15,1,2.6014166666666894,0,0,0.000,false
16,1,2.167249999999991,0,0,0.000,false
17,1,3.8333333333333184,0,0,0.000,false
18,1,1.6053333333333475,0,0,0.000,false
19,1,2.884399999999987,0,0,0.000,false
20,1,0.6785999999999959,0,0,0.000,false
21,1,2.532600000000018,0,0,0.000,false
22,1,2.321300000000015,0,0,0.000,false
23,1,3.5939999999999763,0,0,0.000,false
24,1,0.12229999999999741,0,0,0.000,false
25,1,1.3552999999999926,0,0,0.000,false
26,1,1.152299999999995,0,0,0.000,false
27,1,2.295500000000006,0,0,0.000,false
28,1,2.7073000000000125,0,0,0.000,false
29,1,2.689200000000014,0,0,0.000,false
30,1,1.5648999999999802,0,0,0.000,false
1,2,0.9534615384615505,0,0,0.000,false
2,2,0.8450000000000032,0,0,0.000,false
3,2,0.7852307692307688,0,0,0.000,false
4,2,1.5709230769230724,0,0,0.000,false
5,2,0.19299999999999873,0,0,0.000,false
6,2,1.439666666666654,0,0,0.000,false
7,2,0.7431666666666651,0,0,0.000,false
