timestamp,num_clients,duration_sec,avg_ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,p50_latency_ms,p95_latency_ms,median_client_p50_latency_ms,median_client_p95_latency_ms,avg_stalls_per_client,avg_stall_ms_per_client,total_stalls,total_stall_ms,pct_clients_with_stall,p50_stall_ms_per_client,p95_stall_ms_per_client,total_errors
2025-12-26T11-03-08-481Z,1,30,198.7,10.2,5.8,20.9,7.6,20.5,7.6,20.5,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-04-21-209Z,2,30,173.4,8.0,4.7,22.6,6.9,19.0,7.0,14.0,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-05-35-915Z,3,30,176.1,12.0,6.7,20.4,11.6,19.0,11.6,13.6,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-06-53-111Z,4,30,192.9,7.2,4.3,23.7,6.3,15.5,6.3,7.6,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-08-11-318Z,5,30,203.1,9.6,4.4,22.6,9.5,12.2,9.7,11.3,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-09-32-100Z,6,30,197.7,12.1,5.0,27.0,12.5,15.4,12.7,15.0,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-10-54-834Z,7,30,186.0,14.9,4.3,31.6,13.9,27.8,13.5,16.0,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-12-19-539Z,8,30,193.5,12.6,4.8,25.1,12.9,18.1,13.2,16.4,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-13-46-052Z,9,30,181.9,15.1,4.9,24.9,15.6,22.2,15.5,18.1,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-15-14-977Z,10,30,205.4,9.5,5.1,28.3,9.1,14.9,9.3,12.9,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-16-45-880Z,11,30,199.8,13.0,3.9,39.0,12.6,19.4,11.9,15.9,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-18-18-443Z,12,30,203.1,11.7,4.4,37.7,10.7,19.8,10.3,14.1,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-19-53-224Z,13,30,219.3,10.4,3.9,29.8,8.8,19.5,8.5,15.8,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-21-29-912Z,14,30,213.1,10.3,3.6,32.6,9.0,19.3,8.5,15.6,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-23-08-771Z,15,30,215.2,9.6,4.4,33.7,8.7,17.4,8.2,13.6,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-24-49-298Z,16,30,220.7,9.2,3.3,35.5,8.5,14.8,8.3,13.1,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-26-32-191Z,17,30,231.0,10.4,3.7,39.7,9.4,16.7,9.3,14.2,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-28-16-943Z,18,30,210.4,9.5,3.9,30.6,8.6,15.2,8.4,13.2,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-30-03-636Z,19,30,220.1,9.5,3.3,36.6,8.9,14.6,8.5,12.1,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-31-52-390Z,20,30,229.8,9.4,3.6,41.8,9.0,14.0,8.9,12.3,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-33-43-107Z,21,30,218.0,8.9,2.6,35.3,8.5,13.2,8.2,11.6,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-35-36-124Z,22,30,211.3,9.5,3.3,36.4,9.3,13.2,9.2,12.6,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-37-30-800Z,23,30,225.2,9.8,3.3,39.6,9.4,14.8,9.2,13.6,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-39-27-505Z,24,30,255.0,6.8,0.1,104.6,4.8,20.9,4.9,15.0,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-41-26-243Z,25,30,233.5,4.0,0.1,40.5,1.8,11.8,1.9,10.1,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-43-26-908Z,26,30,240.5,3.6,0.1,36.8,1.7,11.9,1.7,10.1,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-45-29-805Z,27,30,248.3,3.3,0.1,36.6,1.5,12.5,1.5,10.3,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-47-34-513Z,28,30,240.9,3.0,0.0,36.3,1.6,11.0,1.5,9.5,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-49-41-427Z,29,30,256.6,2.5,0.1,39.6,1.4,9.0,1.4,7.9,0.00,0,0,0,0.0,0,0,0
2025-12-26T11-51-50-429Z,30,30,273.1,2.4,0.0,31.9,1.4,9.5,1.4,7.5,0.00,0,0,0,0.0,0,0,0
