client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,176.90000000037253,18.1,10.0,34.4,0,0,0
1,233.40000000037253,14.0,7.6,19.7,0,0,0
2,210.09999999962747,13.8,7.7,18.9,0,0,0
3,208.80000000074506,11.2,8.4,17.0,0,0,0
4,206.40000000037253,12.5,6.2,18.6,0,0,0
5,204.89999999850988,10.1,7.5,13.2,0,0,0
6,224.5,14.7,8.1,21.5,0,0,0
7,209.39999999850988,11.9,7.2,16.7,0,0,0
8,219.7000000011176,9.8,5.6,13.3,0,0,0
9,229.90000000037253,8.9,5.3,10.7,0,0,0
10,253.30000000074506,12.0,7.9,18.0,0,0,0
11,285.59999999962747,15.6,7.9,23.3,0,0,0
12,366.5,11.1,4.8,23.2,0,0,0
13,231,9.3,5.7,11.6,0,0,0
14,291.80000000074506,10.3,7.1,13.6,0,0,0
15,225.69999999925494,9.0,5.9,13.5,0,0,0
16,260.5,11.2,7.1,17.2,0,0,0
17,378.19999999925494,8.8,6.1,11.0,0,0,0
