second,client_id,latency_ms,stall_count,total_stall_ms,buffer_ahead_sec,is_stalling
1,0,0.2915833333333821,0,0,0.000,false
2,0,0.7704999999999629,0,0,0.000,false
3,0,1.2301818181818676,0,0,0.000,false
4,0,0.36254545454542353,0,0,0.000,false
5,0,2.4084000000000216,0,0,0.000,false
6,0,0.44763636363635717,0,0,0.000,false
7,0,0.5131818181817687,0,0,0.000,false
8,0,2.4043999999999954,0,0,0.000,false
9,0,1.4091818181818574,0,0,0.000,false
10,0,0.3233999999999959,0,0,0.000,false
11,0,1.2480000000000047,0,0,0.000,false
12,0,2.2058888888889268,0,0,0.000,false
13,0,0.09188888888880499,0,0,0.000,false
14,0,0.5383333333333814,0,0,0.000,false
15,0,1.599777777777768,0,0,0.000,false
16,0,1.7831111111110687,0,0,0.000,false
17,0,2.374444444444457,0,0,0.000,false
18,0,1.956777777777832,0,0,0.000,false
19,0,3.1247500000000095,0,0,0.000,false
20,0,0.36277777777776127,0,0,0.000,false
21,0,1.1535555555555435,0,0,0.000,false
22,0,1.1495555555555763,0,0,0.000,false
23,0,1.0556666666665906,0,0,0.000,false
24,0,1.6575555555556283,0,0,0.000,false
25,0,1.1185000000000223,0,0,0.000,false
26,0,1.4383333333332577,0,0,0.000,false
27,0,0.6287777777778362,0,0,0.000,false
28,0,1.0793333333333086,0,0,0.000,false
29,0,0.5401250000000024,0,0,0.000,false
30,0,0.8126666666666714,0,0,0.000,false
1,1,0.43781818181817556,0,0,0.000,false
2,1,2.1204545454545696,0,0,0.000,false
3,1,0.7194545454545433,0,0,0.000,false
4,1,2.6946000000000137,0,0,0.000,false
5,1,2.31899999999996,0,0,0.000,false
6,1,1.381909090909113,0,0,0.000,false
7,1,0.9900909090909077,0,0,0.000,false
8,1,1.3738000000000028,0,0,0.000,false
9,1,1.529999999999987,0,0,0.000,false
10,1,1.4710909090909219,0,0,0.000,false
11,1,2.84044444444446,0,0,0.000,false
12,1,1.3766666666666556,0,0,0.000,false
13,1,3.1519999999999944,0,0,0.000,false
14,1,2.1690000000000134,0,0,0.000,false
15,1,1.6103333333333187,0,0,0.000,false
16,1,2.887250000000008,0,0,0.000,false
17,1,1.8242222222222024,0,0,0.000,false
18,1,3.5151111111111355,0,0,0.000,false
19,1,0.10099999999996223,0,0,0.000,false
20,1,3.5821111111111255,0,0,0.000,false
21,1,1.268111111111124,0,0,0.000,false
22,1,0.05912499999999321,0,0,0.000,false
