timestamp,protocol,num_clients,avg_cpu_pct,avg_mem_pct,avg_mem_used_gb,mem_total_gb,samples,duration_sec
2025-12-26T11:03:08.482Z,webrtc,1,13.7,40.9,13.10,32.00,30,30.8
2025-12-26T11:04:21.219Z,webrtc,2,9.8,42.0,13.43,32.00,31,31.4
2025-12-26T11:05:35.919Z,webrtc,3,16.4,44.2,14.14,32.00,32,32.1
2025-12-26T11:06:53.122Z,webrtc,4,19.1,45.6,14.59,32.00,33,33.2
2025-12-26T11:08:11.323Z,webrtc,5,16.6,45.7,14.61,32.00,33,33.4
2025-12-26T11:09:32.104Z,webrtc,6,19.5,46.4,14.85,32.00,34,34.1
2025-12-26T11:10:54.838Z,webrtc,7,38.3,49.6,15.87,32.00,34,34.8
2025-12-26T11:12:19.550Z,webrtc,8,35.5,51.3,16.41,32.00,35,35.5
2025-12-26T11:13:46.056Z,webrtc,9,37.6,53.4,17.10,32.00,35,35.9
2025-12-26T11:15:14.991Z,webrtc,10,32.5,53.3,17.05,32.00,36,36.8
2025-12-26T11:16:45.895Z,webrtc,11,31.4,53.4,17.08,32.00,37,37.7
2025-12-26T11:18:18.448Z,webrtc,12,32.2,53.5,17.11,32.00,38,38.2
2025-12-26T11:19:53.238Z,webrtc,13,33.3,53.5,17.11,32.00,38,38.9
2025-12-26T11:21:29.925Z,webrtc,14,34.9,53.5,17.12,32.00,39,39.6
2025-12-26T11:23:08.774Z,webrtc,15,36.8,53.5,17.12,32.00,40,40.4
2025-12-26T11:24:49.309Z,webrtc,16,36.4,53.4,17.10,32.00,40,40.9
2025-12-26T11:26:32.198Z,webrtc,17,37.2,53.4,17.10,32.00,41,41.7
2025-12-26T11:28:16.947Z,webrtc,18,39.5,53.4,17.09,32.00,42,42.4
2025-12-26T11:30:03.639Z,webrtc,19,39.1,53.2,17.02,32.00,42,43.1
2025-12-26T11:31:52.395Z,webrtc,20,35.6,53.1,17.00,32.00,43,43.7
2025-12-26T11:33:43.111Z,webrtc,21,35.4,53.1,16.98,32.00,44,44.4
2025-12-26T11:35:36.128Z,webrtc,22,34.8,52.9,16.94,32.00,45,45.3
2025-12-26T11:37:30.805Z,webrtc,23,35.8,52.9,16.93,32.00,45,46.0
2025-12-26T11:39:27.511Z,webrtc,24,35.8,52.8,16.90,32.00,46,46.6
2025-12-26T11:41:26.258Z,webrtc,25,36.3,52.7,16.87,32.00,47,47.3
2025-12-26T11:43:26.914Z,webrtc,26,37.2,52.7,16.86,32.00,47,47.9
2025-12-26T11:45:29.811Z,webrtc,27,38.7,52.6,16.83,32.00,48,48.7
2025-12-26T11:47:34.519Z,webrtc,28,37.5,52.5,16.81,32.00,49,49.4
2025-12-26T11:49:41.433Z,webrtc,29,39.4,52.5,16.79,32.00,50,50.2
2025-12-26T11:51:50.435Z,webrtc,30,38.3,52.3,16.75,32.00,51,51.2
2025-12-26T11:54:01.247Z,webrtc,31,39.0,52.2,16.71,32.00,51,52.0
2025-12-26T11:56:13.964Z,webrtc,32,39.0,52.0,16.63,32.00,52,52.6
2025-12-26T11:58:29.316Z,webrtc,33,39.4,52.1,16.68,32.00,53,54.0
2025-12-26T12:00:46.980Z,webrtc,34,39.4,52.1,16.68,32.00,55,55.6
2025-12-26T12:03:05.899Z,webrtc,35,39.7,52.0,16.64,32.00,56,56.4
2025-12-26T12:05:27.366Z,webrtc,36,41.3,51.9,16.62,32.00,57,57.9
2025-12-26T12:07:50.903Z,webrtc,37,40.1,52.2,16.69,32.00,59,59.4
2025-12-26T12:10:16.361Z,webrtc,38,40.8,52.1,16.67,32.00,60,60.8
2025-12-26T12:12:43.736Z,webrtc,39,41.2,51.9,16.61,32.00,62,62.1
2025-12-26T12:15:12.426Z,webrtc,40,44.4,52.0,16.65,32.00,62,62.7
2025-12-26T12:17:44.464Z,webrtc,41,41.9,50.4,16.14,32.00,64,64.6
2025-12-26T12:20:17.982Z,webrtc,42,42.6,50.5,16.17,32.00,66,66.2
2025-12-26T12:22:53.792Z,webrtc,43,44.4,50.8,16.27,32.00,67,68.0
2025-12-26T12:25:30.921Z,webrtc,44,44.2,50.8,16.27,32.00,68,69.1
2025-12-26T12:28:10.805Z,webrtc,45,46.2,50.9,16.29,32.00,70,70.8
2025-12-26T12:30:52.751Z,webrtc,46,46.0,50.7,16.21,32.00,72,72.7
2025-12-26T12:33:36.245Z,webrtc,47,47.6,50.8,16.25,32.00,74,74.1
2025-12-26T12:36:21.788Z,webrtc,48,46.9,50.4,16.14,32.00,75,75.6
2025-12-26T12:39:09.589Z,webrtc,49,49.8,50.7,16.21,32.00,77,77.4
2025-12-26T12:41:59.448Z,webrtc,50,50.1,50.2,16.06,32.00,79,79.2
