client_id,ttff_ms,avg_latency_ms,min_latency_ms,max_latency_ms,stall_count,total_stall_ms,error_count
0,178.7999999988824,14.8,1.2,34.3,0,0,0
1,171.59999999962747,8.7,0.5,19.7,0,0,0
2,162.90000000037253,8.0,0.9,15.0,0,0,0
3,195.40000000037253,8.4,0.6,19.0,0,0,0
4,259.7000000011176,8.5,1.0,16.5,0,0,0
5,270,6.4,0.8,13.1,0,0,0
6,208.5,8.7,0.6,17.6,0,0,0
7,248.19999999925494,7.1,1.2,16.3,0,0,0
8,320.19999999925494,7.9,1.2,18.0,0,0,0
9,380.69999999925494,8.6,0.6,17.0,0,0,0
10,338.5,7.2,0.7,14.8,0,0,0
11,230,6.0,0.8,11.7,0,0,0
12,380.40000000037253,6.6,1.2,12.5,0,0,0
13,291.80000000074506,7.2,1.0,19.9,0,0,0
14,270.30000000074506,5.9,1.3,14.1,0,0,0
15,207.2000000011176,6.7,1.3,15.6,0,0,0
16,331.5,7.7,1.1,17.8,0,0,0
17,286.7999999988824,7.0,0.8,17.2,0,0,0
18,277.5,6.5,1.3,11.0,0,0,0
19,326.30000000074506,7.5,0.8,19.9,0,0,0
20,370.69999999925494,11.0,0.9,27.2,0,0,0
21,379.69999999925494,5.1,1.0,12.2,0,0,0
22,419.19999999925494,9.2,1.5,25.0,0,0,0
23,313.19999999925494,8.6,0.8,25.3,0,0,0
