timestamp,session_id,expected_clients,connected_clients,duration_sec,avg_sys_cpu_pct,avg_sys_mem_pct,avg_proc_cpu_pct,avg_proc_rss_mb,avg_net_rx_kbps,avg_net_tx_kbps,samples,net_counter_in_bytes,net_counter_out_bytes,net_counter_in_packets,net_counter_out_packets
2025-12-23T16:43:53,20251223-164323,1,1,30.1,7.59,28.90,6.75,112.6,37.05,2798.75,30,121965,10369018,1104,8804
2025-12-23T16:45:00,20251223-164430,2,2,30.1,14.24,27.97,13.95,126.2,43.25,5452.91,30,253311,30584065,2337,25451
2025-12-23T16:46:15,20251223-164545,3,3,30.1,26.36,18.29,26.16,141.2,52.57,8050.46,30,410685,60427561,3874,49938
2025-12-23T16:47:32,20251223-164701,4,4,30.1,38.82,18.63,38.32,162.3,69.06,10876.87,30,620756,100740424,5923,83597
2025-12-23T16:48:50,20251223-164820,5,5,30.1,46.23,19.12,45.71,198.4,86.42,13794.57,30,885930,151879373,8502,125503
2025-12-23T16:50:11,20251223-164941,6,6,30.1,55.04,18.28,54.41,192.2,102.18,16457.30,30,1203142,212886393,11588,175746
2025-12-23T16:51:34,20251223-165104,7,7,30.1,61.71,17.51,61.06,207.2,119.01,19456.00,30,1574828,285012080,15207,235003
2025-12-23T16:52:59,20251223-165229,8,8,30.1,64.96,17.81,64.37,223.0,136.16,22294.07,30,2001015,367654193,19357,303198
2025-12-23T16:54:25,20251223-165355,9,9,30.1,66.65,18.19,66.05,264.5,152.98,24939.83,30,2481309,460104004,24048,379468
2025-12-23T20:23:38,20251223-202307,10,10,30.1,66.85,26.81,65.99,279.5,179.83,28338.22,30,573819,105054515,5554,86251
2025-12-23T20:25:08,20251223-202438,11,11,30.1,66.92,27.36,66.34,311.3,200.16,30945.69,30,1190088,219765233,11541,180636
2025-12-23T20:26:41,20251223-202611,12,12,30.1,67.95,28.11,67.35,353.6,215.89,34125.71,30,1870077,346256778,18146,285335
2025-12-23T20:28:16,20251223-202746,13,13,30.1,68.13,27.72,67.60,322.6,226.74,37285.62,30,2589927,484464336,25162,399895
2025-12-23T20:29:53,20251223-202922,14,14,30.1,68.36,28.40,67.69,362.4,244.80,39911.48,30,3359502,632406180,32702,522150
2025-12-23T20:31:31,20251223-203101,15,15,30.1,69.47,28.42,68.94,393.0,257.90,42953.39,30,4181689,791626314,40769,654011
2025-12-23T20:33:12,20251223-203242,16,16,30.2,70.07,28.52,69.40,386.6,278.57,45986.42,30,5063793,962090537,49415,794885
2025-12-23T20:34:55,20251223-203425,17,17,30.1,71.50,28.85,70.97,414.7,294.61,50188.78,30,6004645,1148134950,58654,948735
2025-12-23T20:36:39,20251223-203609,18,18,30.2,73.22,29.17,72.63,435.8,312.92,53147.92,30,7005343,1345154948,68476,1111189
2025-12-23T20:38:26,20251223-203756,19,19,30.3,74.44,30.06,73.94,504.5,335.75,55716.08,30,8071286,1551693844,78896,1281302
2025-12-23T20:40:15,20251223-203945,20,20,30.3,77.88,29.45,77.38,449.9,352.91,59737.78,30,9198238,1773149527,90028,1463395
2025-12-23T20:42:06,20251223-204136,21,21,30.2,81.37,30.20,80.88,513.2,372.46,63233.64,30,10389437,2007558510,101666,1656582
2025-12-23T20:43:59,20251223-204328,22,22,30.4,85.04,30.65,84.54,555.0,392.99,66736.87,30,11639787,2254956343,113910,1860077
2025-12-23T20:45:53,20251223-204523,23,23,30.4,91.40,31.26,78.40,545.3,715.39,63604.12,29,12878513,2482836493,125982,2048520
2025-12-23T20:47:50,20251223-204720,24,24,30.1,91.94,30.70,91.44,557.2,442.02,73015.27,29,14239955,2744504606,139326,2262515
2025-12-23T20:49:49,20251223-204919,25,25,30.3,92.27,31.45,91.81,584.5,454.31,74400.72,29,15646130,3011117970,153142,2482129
2025-12-23T20:51:50,20251223-205120,26,26,30.4,91.68,31.45,91.22,603.6,465.58,74640.20,29,17087793,3278579363,167232,2703283
2025-12-23T20:53:53,20251223-205322,27,27,30.5,92.74,31.69,92.27,614.6,476.99,74953.83,29,18556932,3547157708,181599,2925403
2025-12-23T20:55:58,20251223-205527,28,28,30.8,91.26,32.51,90.77,707.0,484.98,75787.61,29,20058870,3818721016,196290,3150495
2025-12-23T20:58:05,20251223-205734,29,29,30.8,90.63,32.71,90.18,692.9,500.26,75662.85,29,21597900,4089845545,211320,3374277
2025-12-23T21:00:14,20251223-205943,30,30,30.9,89.63,33.06,89.01,728.0,510.75,76297.08,29,23176374,4363224772,226739,3601268
2025-12-23T21:02:26,20251223-210155,31,31,30.9,88.34,32.95,87.90,720.3,546.33,77863.42,29,24868953,4642208121,242935,3833505
2025-12-23T21:04:38,20251223-210408,32,32,30.1,90.69,32.98,90.23,723.6,565.19,81180.88,28,26548541,4923068063,259270,4065465
2025-12-23T21:06:53,20251223-210623,33,33,30.1,90.18,33.58,89.69,774.9,582.06,82314.86,28,28286389,5207853589,276207,4300919
2025-12-23T21:09:11,20251223-210840,34,34,30.3,89.63,33.78,89.17,781.4,602.06,83541.19,28,30076580,5496859684,293635,4541145
2025-12-23T21:10:50,20251223-211020,35,35,30.2,89.97,33.68,89.53,778.2,610.52,84899.92,28,31906775,5790554767,311429,4786369
2025-12-23T21:13:12,20251223-211241,36,36,30.3,88.85,34.39,88.37,822.6,638.34,87175.70,28,33805114,6092124006,329917,5037805
2025-12-23T21:15:35,20251223-211505,37,37,30.4,88.20,34.15,87.75,811.8,654.00,88864.67,28,35748389,6399534005,348797,5293951
2025-12-23T21:18:01,20251223-211730,38,38,30.4,89.04,35.60,88.54,918.0,675.11,90838.46,28,37756511,6713760842,368302,5556759
2025-12-23T21:20:28,20251223-211958,39,39,30.5,88.31,35.58,87.84,924.9,694.40,92368.41,28,39827804,7033304489,388549,5822554
2025-12-23T21:22:58,20251223-212227,40,40,30.6,87.98,34.92,87.41,883.8,716.38,94007.77,28,41961335,7358511972,409292,6093325
2025-12-23T21:25:29,20251223-212459,41,41,30.7,87.46,35.05,87.02,895.2,740.82,95458.49,28,44173530,7688727737,430968,6369331
2025-12-23T21:28:03,20251223-212732,42,42,30.7,87.70,36.28,87.19,983.7,771.00,98429.07,28,46470711,8029230027,453297,6652826
2025-12-23T21:30:39,20251223-213008,43,43,30.8,87.64,35.98,87.11,951.9,795.23,100633.16,28,48845210,8377366909,476591,6942149
2025-12-23T21:33:16,20251223-213246,44,44,30.2,89.20,36.34,88.70,990.0,848.27,106262.05,27,51282107,8731831440,500344,7237756
2025-12-23T21:35:55,20251223-213525,45,45,30.1,88.96,36.55,88.51,994.6,872.36,107778.17,27,53792687,9091344186,524937,7538359
2025-12-23T21:38:37,20251223-213807,46,46,30.2,89.21,36.51,88.77,1001.0,903.10,110511.02,27,56386457,9459958346,550257,7847325
2025-12-23T21:41:21,20251223-214050,47,47,30.3,88.84,36.44,88.39,1000.6,923.11,112071.28,27,59045044,9833775193,576165,8160911
2025-12-23T21:44:07,20251223-214336,48,48,30.3,88.27,37.07,87.75,1043.8,949.11,114140.38,27,61774334,10214497347,602876,8480028
2025-12-23T21:46:55,20251223-214624,49,49,30.4,88.40,37.61,87.92,1085.5,981.78,118120.35,27,64593982,10608476582,630365,8810883
2025-12-23T21:49:44,20251223-214914,50,50,30.4,88.51,38.45,88.03,1146.3,1007.39,120028.32,27,67487426,11008834545,658728,9146372
